Price,Close,High,Low,Open,Volume
Ticker,^HSI,^HSI,^HSI,^HSI,^HSI
2008-03-18,21384.609375,21467.1796875,20572.919921875,21444.609375,3676800000.0
2008-03-19,21866.939453125,22191.880859375,21779.83984375,22191.880859375,2951800000.0
2008-03-20,21108.220703125,21471.669921875,20896.140625,21173.30078125,2784800000.0
2008-03-21,21108.220703125,21471.669921875,20896.140625,21173.30078125,2784800000.0
2008-03-24,21108.220703125,21471.669921875,20896.140625,21173.30078125,2784800000.0
2008-03-25,22464.51953125,22529.80078125,21691.55078125,21841.779296875,3281200000.0
2008-03-26,22617.009765625,22811.349609375,22428.4296875,22581.75,2754500000.0
2008-03-27,22664.220703125,22758.939453125,22205.19921875,22312.5703125,2271900000.0
2008-03-28,23285.94921875,23313.880859375,22721.220703125,22750.310546875,3177600000.0
2008-03-31,22849.19921875,23077.83984375,22700.83984375,22997.0390625,1817000000.0
2008-04-01,23137.4609375,23305.7109375,22700.5,23084.9296875,2122800000.0
2008-04-02,23872.4296875,24195.3203125,23858.890625,24133.76953125,3980900000.0
2008-04-03,24264.630859375,24334.189453125,23937.310546875,23947.55078125,2489100000.0
2008-04-04,24264.630859375,24334.189453125,23937.310546875,23947.55078125,2489100000.0
2008-04-07,24578.759765625,24642.01953125,24269.55078125,24484.830078125,2084000000.0
2008-04-08,24311.689453125,24557.4296875,24212.599609375,24507.0703125,1980400000.0
2008-04-09,23984.5703125,24492.029296875,23921.150390625,24293.419921875,2280700000.0
2008-04-10,24187.099609375,24214.5703125,23905.580078125,24101.41015625,2034500000.0
2008-04-11,24667.7890625,24681.4609375,24322.109375,24442.26953125,2777500000.0
2008-04-14,23811.19921875,24070.259765625,23753.0390625,23968.0390625,2289900000.0
2008-04-15,23901.330078125,24043.890625,23613.490234375,23950.400390625,1951900000.0
2008-04-16,23878.349609375,24194.1796875,23749.6796875,24075.6796875,1510800000.0
2008-04-17,24258.9609375,24442.0703125,24150.509765625,24369.859375,1972000000.0
2008-04-18,24197.779296875,24400.869140625,24107.240234375,24234.529296875,2314100000.0
2008-04-21,24721.669921875,24887.109375,24668.279296875,24821.0,2069800000.0
2008-04-22,24939.150390625,24965.740234375,24413.25,24460.640625,2474600000.0
2008-04-23,25289.240234375,25361.2890625,24919.73046875,25000.490234375,2661200000.0
2008-04-24,25680.779296875,25861.6796875,25603.5703125,25776.2890625,3261400000.0
2008-04-25,25516.779296875,25852.970703125,25437.8203125,25852.970703125,2047800000.0
2008-04-28,25666.2890625,25717.4296875,25567.58984375,25613.169921875,2082900000.0
2008-04-29,25914.150390625,26038.580078125,25633.470703125,25661.9609375,2901800000.0
2008-04-30,25755.349609375,26066.5,25731.640625,25998.26953125,2282500000.0
2008-05-01,25755.349609375,26066.5,25731.640625,25998.26953125,2282500000.0
2008-05-02,26241.01953125,26374.08984375,26173.8203125,26324.970703125,2749000000.0
2008-05-05,26183.94921875,26387.369140625,26118.609375,26321.609375,1900600000.0
2008-05-06,26262.130859375,26314.990234375,26072.619140625,26084.609375,1696800000.0
2008-05-07,25610.2109375,26377.990234375,25471.189453125,26377.990234375,2539300000.0
2008-05-08,25449.7890625,25616.94921875,25353.509765625,25442.51953125,1846300000.0
2008-05-09,25063.169921875,25483.759765625,24911.330078125,25401.91015625,2068000000.0
2008-05-12,25063.169921875,25483.759765625,24911.330078125,25401.91015625,2068000000.0
2008-05-13,25552.76953125,25601.55078125,25032.169921875,25190.1796875,2460700000.0
2008-05-14,25533.48046875,25546.779296875,25108.060546875,25461.369140625,1855800000.0
2008-05-15,25513.7109375,25736.560546875,25208.220703125,25719.01953125,2137000000.0
2008-05-16,25618.859375,25748.330078125,25533.599609375,25665.640625,2457700000.0
2008-05-19,25742.23046875,25822.0,25592.2109375,25592.2109375,1587600000.0
2008-05-20,25169.4609375,25702.869140625,25042.08984375,25692.26953125,2068800000.0
2008-05-21,25460.2890625,25498.08984375,24820.169921875,24828.0390625,2106300000.0
2008-05-22,25043.119140625,25057.5390625,24700.490234375,24984.279296875,2061200000.0
2008-05-23,24714.0703125,25128.439453125,24693.55078125,25085.349609375,1574800000.0
2008-05-26,24127.310546875,24331.689453125,24100.310546875,24234.349609375,1780700000.0
2008-05-27,24282.0390625,24441.0703125,24221.279296875,24239.05078125,1144900000.0
2008-05-28,24249.509765625,24338.6796875,24178.7109375,24209.029296875,1445200000.0
2008-05-29,24383.990234375,24542.099609375,24222.05078125,24542.099609375,1779300000.0
2008-05-30,24533.119140625,24585.779296875,24289.849609375,24448.369140625,2117200000.0
2008-06-02,24831.359375,24923.279296875,24453.7890625,24542.2890625,1827000000.0
2008-06-03,24375.759765625,24590.599609375,24254.9296875,24556.1796875,2556800000.0
2008-06-04,24123.25,24462.580078125,24123.25,24327.720703125,1965700000.0
2008-06-05,24255.2890625,24321.66015625,24003.98046875,24150.529296875,1718600000.0
2008-06-06,24402.1796875,24524.58984375,24392.8203125,24505.599609375,1723100000.0
2008-06-09,24402.1796875,24524.58984375,24392.8203125,24505.599609375,1723100000.0
2008-06-10,23375.51953125,23741.08984375,23343.189453125,23689.16015625,2721500000.0
2008-06-11,23327.599609375,23486.169921875,23178.01953125,23288.9609375,1655600000.0
2008-06-12,23023.859375,23023.859375,22695.099609375,22820.890625,2122600000.0
2008-06-13,22592.30078125,22984.08984375,22592.30078125,22920.76953125,1499600000.0
2008-06-16,23029.689453125,23232.990234375,22814.169921875,22814.169921875,1493200000.0
2008-06-17,23057.990234375,23128.580078125,22872.330078125,23008.080078125,1172400000.0
2008-06-18,23325.80078125,23492.2109375,22946.9609375,23114.44921875,2194500000.0
2008-06-19,22797.609375,22999.669921875,22733.779296875,22849.359375,1847300000.0
